employee_id,full_name,department,designation,employment_type,shift_type,work_mode,date,clock_in_time,clock_out_time,total_work_hours,tasks_completed,productivity_score,absent,overtime_hours,leave_type,late_login,early_logout,project_deadlines_missed,burnout_risk_score,manager_id,location,salary_band,performance_rating,years_with_company,reason_for_leave
EMP1015,Employee 015,HR,HR Executive,Full-time,Day,Work From Home,2025-02-01,09:32:00,17:32:00,8.0,11.0,79.07,False,0.0,,False,True,1.0,8.03,MGR653,New York,Low,3.92,1.1,
EMP1956,Employee 956,Customer Support,Support Specialist,Contractor,Night,Hybrid,2025-02-09,,,,,,True,,Unpaid Leave,,,,,MGR288,Sydney,Medium,3.67,1.6,Flu
EMP1019,Employee 019,HR,HR Executive,Full-time,Rotational,Hybrid,2025-02-25,20:41:00,04:41:00,8.0,5.0,75.75,False,0.0,,False,True,2.0,8.25,MGR547,Bangalore,High,4.42,9.5,
EMP1371,Employee 371,Consulting,Consultant,Contractor,Night,Office,2025-02-07,20:46:00,04:46:00,8.0,5.0,89.58,False,1.5,,True,True,1.0,9.78,MGR267,Sydney,Low,4.6,2.3,
EMP1725,Employee 725,Engineering,Software Engineer,Full-time,Night,Hybrid,2025-02-10,22:02:00,06:02:00,8.0,5.0,92.14,False,0.0,,False,True,2.0,9.6,MGR466,London,Low,3.99,8.4,
EMP1652,Employee 652,Sales,Sales Executive,Full-time,Rotational,Work From Home,2025-02-28,21:46:00,05:46:00,8.0,13.0,71.3,False,0.0,,False,False,2.0,9.78,MGR561,New York,Medium,3.64,8.2,
EMP1601,Employee 601,Consulting,Consultant,Part-time,Rotational,Work From Home,2025-02-19,22:13:00,06:13:00,8.0,15.0,79.02,False,0.0,,True,False,2.0,9.0,MGR520,Sydney,Medium,4.79,3.9,
EMP1735,Employee 735,Customer Support,Support Specialist,Part-time,Rotational,Hybrid,2025-02-13,20:20:00,04:20:00,8.0,9.0,72.13,False,0.0,,True,False,1.0,11.62,MGR509,London,Medium,3.55,8.2,
EMP1533,Employee 533,Sales,Sales Manager,Contractor,Night,Office,2025-02-15,22:04:00,06:04:00,8.0,8.0,92.79,False,0.0,,False,False,0.0,10.35,MGR342,Sydney,Medium,4.69,6.9,
EMP1040,Employee 040,Finance,Financial Analyst,Full-time,Rotational,Office,2025-02-12,20:24:00,04:24:00,8.0,15.0,80.25,False,0.0,,False,False,0.0,8.54,MGR444,New York,Low,3.75,4.9,
EMP1248,Employee 248,Sales,Sales Manager,Contractor,Rotational,Hybrid,2025-02-21,20:43:00,04:43:00,8.0,6.0,82.48,False,1.0,,True,False,0.0,10.34,MGR466,New York,Medium,4.36,1.0,
EMP1265,Employee 265,Customer Support,Support Manager,Part-time,Rotational,Hybrid,2025-02-01,,,,,,True,,Unpaid Leave,,,,,MGR565,Bangalore,Medium,3.59,2.5,Flu
EMP1969,Employee 969,Customer Support,Support Specialist,Part-time,Rotational,Work From Home,2025-02-13,22:17:00,06:17:00,8.0,6.0,86.24,False,0.0,,True,False,2.0,12.62,MGR486,New York,Low,4.19,9.5,
EMP1833,Employee 833,Consulting,Senior Consultant,Full-time,Rotational,Office,2025-02-27,22:35:00,06:35:00,8.0,9.0,81.24,False,0.0,,True,False,0.0,13.89,MGR606,Bangalore,Medium,4.09,7.9,
EMP1171,Employee 171,Engineering,Software Engineer,Part-time,Night,Work From Home,2025-02-12,21:25:00,05:25:00,8.0,13.0,72.16,False,0.5,,False,True,0.0,8.25,MGR671,London,Medium,3.56,2.9,
EMP1638,Employee 638,Engineering,Software Engineer,Part-time,Night,Work From Home,2025-02-27,20:28:00,04:28:00,8.0,13.0,91.61,False,1.5,,False,True,1.0,13.63,MGR448,New York,Medium,4.2,2.4,
EMP1367,Employee 367,Finance,Financial Analyst,Full-time,Rotational,Hybrid,2025-02-20,21:14:00,05:14:00,8.0,12.0,75.41,False,1.5,,False,False,1.0,11.47,MGR614,Bangalore,High,3.67,6.0,
EMP1777,Employee 777,Engineering,QA Analyst,Contractor,Rotational,Office,2025-02-04,22:03:00,06:03:00,8.0,12.0,71.28,False,0.0,,False,False,2.0,11.05,MGR365,Bangalore,High,4.98,3.1,
EMP1617,Employee 617,Finance,Financial Analyst,Full-time,Rotational,Office,2025-02-19,21:16:00,05:16:00,8.0,11.0,92.64,False,0.5,,False,True,2.0,14.07,MGR407,Bangalore,Medium,4.17,9.9,
EMP1956,Employee 956,Customer Support,Support Specialist,Contractor,Night,Hybrid,2025-02-18,20:38:00,04:38:00,8.0,9.0,85.03,False,0.0,,True,True,2.0,8.16,MGR288,Sydney,Medium,3.67,1.6,
EMP1693,INVALID_NAME,HR,HR Executive,Part-time,Rotational,Hybrid,2025-02-04,21:32:00,05:32:00,8.0,14.0,72.04,False,0.5,,True,True,2.0,14.95,MGR219,Bangalore,Low,4.06,1.4,
EMP1422,Employee 422,Finance,Accountant,Full-time,Day,Work From Home,2025-02-24,09:48:00,17:48:00,8.0,5.0,81.91,False,0.5,,False,True,2.0,10.75,MGR274,London,High,4.57,5.5,
EMP1487,Employee 487,Finance,Financial Analyst,Full-time,Night,Hybrid,2025-02-10,22:49:00,06:49:00,8.0,15.0,88.85,False,0.0,,True,True,2.0,12.06,MGR687,Bangalore,Medium,4.79,7.9,
EMP1900,Employee 900,Consulting,Consultant,Part-time,Day,Hybrid,2025-02-18,09:27:00,17:27:00,8.0,5.0,90.27,False,0.0,,False,True,0.0,8.18,MGR317,Bangalore,Low,4.81,5.6,
EMP1606,Employee 606,Engineering,Software Engineer,Part-time,Night,Office,2025-02-12,21:34:00,05:34:00,8.0,15.0,76.61,False,0.0,,True,True,2.0,13.71,MGR443,Bangalore,Medium,4.58,7.0,
EMP1383,Employee 383,Engineering,Software Engineer,Part-time,Night,Hybrid,2025-02-18,22:21:00,06:21:00,8.0,13.0,75.73,False,0.5,,True,False,1.0,12.23,MGR294,Bangalore,Medium,3.52,2.8,
EMP1003,Employee 003,Customer Support,Support Specialist,Full-time,Day,Work From Home,2025-02-02,09:56:00,17:56:00,8.0,10.0,75.71,False,0.0,,True,False,0.0,11.35,MGR518,Bangalore,Low,4.44,7.8,
EMP1445,Employee 445,Engineering,DevOps Engineer,Contractor,Day,Office,2025-02-06,09:15:00,17:15:00,8.0,9.0,82.16,False,0.0,,False,False,2.0,13.61,MGR479,New York,Low,3.6,2.4,
EMP1711,Employee 711,HR,HR Executive,Contractor,Rotational,Hybrid,2025-02-04,20:12:00,04:12:00,8.0,8.0,71.13,False,0.5,,False,True,0.0,10.75,MGR273,Bangalore,Medium,4.84,9.3,
EMP1055,Employee 055,Engineering,QA Analyst,Contractor,Day,Work From Home,2025-02-02,10:23:00,18:23:00,8.0,13.0,71.98,False,0.0,,True,True,0.0,12.24,MGR268,Bangalore,Medium,3.69,4.4,
EMP1621,Employee 621,HR,HR Manager,Contractor,Day,Work From Home,2025-02-14,,,,,,True,,Unpaid Leave,,,,,MGR507,Bangalore,Low,5.0,2.4,Personal
EMP1043,Employee 043,Customer Support,Support Manager,Part-time,Night,Work From Home,2025-02-18,22:35:00,06:35:00,8.0,12.0,73.98,False,0.5,,True,True,0.0,10.57,MGR342,Sydney,Medium,4.15,1.1,
EMP1518,Employee 518,Customer Support,Support Specialist,Full-time,Night,Work From Home,2025-02-19,21:37:00,05:37:00,8.0,13.0,94.95,False,0.0,,False,False,0.0,14.65,MGR490,New York,Medium,4.61,4.9,
EMP1561,Employee 561,Sales,Sales Executive,Full-time,Day,Office,2025-02-20,08:06:00,16:06:00,8.0,14.0,74.42,False,0.0,,True,True,2.0,14.15,MGR567,New York,High,3.74,7.0,
EMP1494,Employee 494,Customer Support,Support Specialist,Part-time,Night,Office,2025-02-23,22:43:00,06:43:00,8.0,7.0,85.48,False,0.0,,True,True,0.0,14.0,MGR292,London,Low,4.44,9.4,
